카테고리 ID,대분류,중분류,소분류
1,경영·사무·금융·보험, , 
11, ,행정·경영·금융·보험 관리직, 
11100, , ,의회의원·고위공무원 및 공공단체임원
11200, , ,기업 고위임원
12100, , ,정부행정 관리자
12200, , ,경영지원 관리자
12201, , ,경영기획 부서장
12202, , ,인사·노무·교육·총무·감사 부서장
12203, , ,자재·구매 부서장
12204, , ,재무·회계·경리 부서장
12205, , ,기타 경영지원 서비스 관리자
12300, , ,마케팅·광고·홍보 관리자(부서장)
12400, , ,금융·보험 관리자(부서장)
12, ,교육·법률·복지·의료·예술·방송·정보통신 등 전문서비스 관리직, 
13100, , ,연구 관리자
13200, , ,교육 관리자(부서장)
13300, , ,법률·경찰·소방·교도 관리자
13400, , ,보건·의료 관리자(부서장)
13500, , ,사회복지 관리자(부서장)
13600, , ,예술·디자인·방송 관리자(부서장)
13700, , ,정보통신 관리자(부서장)
13900, , ,부동산·조사·인력알선 및 기타 전문서비스 관리자
13901, , ,부동산·임대업 관리자
13902, , ,아파트 관리소장
13903, , ,빌딩 관리소장
13904, , ,"조사, 인력공급·알선 및 기타 전문서비스 관리자(부서장)"
14100, , ,미용·여행·숙박·스포츠 관리자
13, ,미용·여행·숙박·음식 등 개인서비스 및 영업·판매·운송 관리직, 
14101, , ,미용·여행·숙박 관리자
14102, , ,스포츠 관리자
14200, , ,음식서비스 관리자
14300, , ,경비·청소 관리자
14301, , ,경비 관리자
14302, , ,환경·청소 관리자
15100, , ,영업·판매 관리자
15101, , ,영업 관리자(영업소장·지점장)
15102, , ,판매 관리자(소규모 판매점장 제외)
15200, , ,운송 관리자(부서장)
15900, , ,각종 단체 및 기타 고객서비스 관리자
14, ,건설·채굴·제조·생산 관리직, 
16100, , ,건설·채굴 관리자(부서장)
16200, , ,전기·가스·수도 관리자(부서장)
16300, , ,제조·생산 관리자
16301, , ,기계·금속·비금속 제조 관리자(공장장)
16302, , ,화학 제조 관리자(공장장)
16303, , ,섬유·의류 제조 관리자(공장장)
16304, , ,전기·전자 제조 관리자(공장장)
16305, , ,식품가공 제조 관리자(공장장)
16306, , ,기타 제품 제조 관리자(공장장)
16900, , ,기타 건설·전기 및 제조 관리자
16901, , ,수리·정비 관리자(부서장)
16902, , ,농림어업 및 기타 생산 관리자
15, ,행정·경영·회계·광고·상품기획 전문가, 
21000, , ,정부·공공행정 전문가
22100, , ,경영 컨설턴트(M&A·창업·인증심사·FTA)
22201, , ,인사·노무 전문가
22202, , ,HRD·교육·훈련 전문가
23100, , ,회계사
23200, , ,세무사
23301, , ,관세사
23302, , ,FTA 원산지관리사
23400, , ,감정 전문가
23401, , ,감정평가사
23402, , ,감정사(문화재·보석·문서·음식료품 및 조향사)
24101, , ,광고·홍보 전문가
24102, , ,마케팅 전문가
24200, , ,조사 전문가
24301, , ,상품 기획자
24302, , ,머천다이저(MD)
24400, , ,행사 기획자
24401, , ,행사·이벤트 기획자
24402, , ,전시·회의 기획자
231400, , ,직업상담사
16, ,정부·공공행정 사무, 
25100, , ,조세행정 사무원
25200, , ,관세행정 사무원
25300, , ,병무행정 사무원
25401, , ,국가·지방행정 사무원
25402, , ,군무원
25500, , ,공공행정 사무원
26100, , ,기획·마케팅 사무원
17, ,경영지원 사무, 
26101, , ,경영 기획 사무원
26102, , ,마케팅·광고·홍보·상품기획 사무원
26103, , ,영업 기획·관리·지원 사무원
26104, , ,분양·임대 사무원
26200, , ,인사·교육·훈련 사무원
26201, , ,인사 사무원
26202, , ,노무 사무원
26203, , ,교육·훈련 사무원
26300, , ,총무 사무원 및 대학 행정조교
26301, , ,총무 및 일반 사무원
26302, , ,병원행정 사무원(원무)
26303, , ,학교행정 사무원(교무)
26304, , ,대학 행정조교
26305, , ,협회·회원단체 사무원
26306, , ,기숙사사감 및 독서실·고시원 총무
26400, , ,감사 사무원
215200, , ,대학 교육 조교(TA) 및 연구 조교(RA)
222000, , ,법률 사무원
18, ,회계·경리 사무, 
27100, , ,회계 사무원
27101, , ,재무 사무원
27102, , ,회계 사무원(회계·세무 사무소)
27103, , ,회계 사무원(일반 사업체)
27200, , ,경리 사무원
27201, , ,경리 사무원(무역)
27202, , ,경리 사무원(운수)
27203, , ,경리 사무원(건설)
27204, , ,경리 사무원(제조)
27205, , ,경리 사무원(회계·세무 사무소)
27206, , ,경리 사무원(일반사업체)
27207, , ,경리 사무원(아파트·빌딩)
27208, , ,단순 경리 사무원
19, ,무역·운송·자재·구매·생산·품질 사무, 
28100, , ,무역 사무원
28101, , ,무역 사무원(영어)
28102, , ,무역 사무원(중국어)
28103, , ,무역 사무원(일본어)
28104, , ,무역 사무원(기타 언어)
28105, , ,관세 사무원
28106, , ,FTA 관리 사무원
28200, , ,운송 사무원
28201, , ,도로 운송 사무원(배차사무 포함)
28202, , ,철도·지하철 운송 사무원
28203, , ,항공 운송 사무원
28204, , ,수상 운송 사무원(해상 운송)
28300, , ,자재·구매·물류 사무원
28301, , ,자재·구매 사무원(건설)
28302, , ,자재·구매 사무원(기계·자동차·금속)
28303, , ,자재·구매 사무원(화학·섬유·의류)
28304, , ,자재·구매 사무원(전기·전자·컴퓨터)
28305, , ,자재·구매 사무원(음식료품)
28306, , ,자재·구매 사무원(일반 사업체)
28307, , ,창고 관리원(자재 검수원 포함)
28308, , ,물류 사무원(물류 관리사)
28400, , ,생산·품질 사무원
28401, , ,생산·품질 사무원 및 관리원(건설)
28402, , ,생산·품질 사무원 및 관리원(기계·자동차·금속)
28403, , ,생산·품질 사무원 및 관리원(화학·섬유·의료)
28404, , ,생산·품질 사무원 및 관리원(전기·전자·컴퓨터)
28405, , ,생산·품질 사무원 및 관리원(음식료품)
28406, , ,생산·품질 사무원 및 관리원(그 외 분야)
01A, ,안내·접수·고객상담 사무, 
29100, , ,안내·접수원 및 전화교환원
29101, , ,"일반 예약·접수 사무원(AS,고장,가입 및 호텔,콘도 등 제외)"
29102, , ,예약·접수 사무원(A/S·고장·가입·신규발급·이전)
29103, , ,호텔·콘도·숙박시설 프론트 사무원
29104, , ,데스크 안내원
29105, , ,방송 안내원
29200, , ,고객 상담원 및 모니터 요원
29201, , ,콜센터 매니저
29202, , ,콜센터 상담원(콜센터·고객센터·CS센터)
29203, , ,고객 상담원(학원·학습지·유학·이민)
29204, , ,고객 상담원(금융·보험·부동산)
29205, , ,고객 상담원(스포츠·예식·항공·여행·숙박·오락)
29206, , ,고객 상담원(홈 및 인터넷쇼핑몰·택배·운송)
29207, , ,고객 상담원(백화점·마트)
29208, , ,고객 상담원(인터넷·통신)
29209, , ,고객 상담원(A/S·고장·제품사용)
29210, , ,병원 코디네이터
29211, , ,모니터 요원
01B, ,통계·비서·사무보조·기타 사무, 
29301, , ,통계 사무원
29302, , ,통계·설문 조사원(슈퍼바이저 포함)
29400, , ,비서
29500, , ,전산자료 입력원 및 사무 보조원
29501, , ,전산자료 입력원(DB·단순자료)
29502, , ,전산자료 입력원(약국·판매·대리점)
29503, , ,홈페이지 자료관리원(정보검색 포함)
29504, , ,HTML 코더
29505, , ,사무 보조원(공공기관)
29506, , ,사무 보조원(일반사업체)
29900, , ,기타 사무원
29901, , ,도서 정리원
29902, , ,출판·자료 편집 사무원
29903, , ,속기사
29904, , ,행정사·문서대행자
29905, , ,취업 알선원(직업소개소)
29906, , ,부동산 중개 보조 사무원
134301, , ,정보시스템 운영자
231400, , ,직업상담사
613000, , ,텔레마케터
